Run,Success Rate (%),Success Count,Total Bytes
318,95.00,38,40
319,22.50,9,40
320,87.50,35,40
321,42.50,17,40
322,30.00,12,40
323,97.50,39,40
324,15.00,6,40
325,95.00,38,40
326,32.50,13,40
327,32.50,13,40
328,85.00,34,40
329,92.50,37,40
330,35.00,14,40
331,90.00,36,40
332,80.00,32,40
333,27.50,11,40
334,30.00,12,40
335,85.00,34,40
336,97.50,39,40
337,97.50,39,40
338,57.50,23,40
339,92.50,37,40
340,25.00,10,40
341,75.00,30,40
342,60.00,24,40
343,27.50,11,40
344,85.00,34,40
345,65.00,26,40
346,72.50,29,40
347,57.50,23,40
348,80.00,32,40
349,80.00,32,40
350,95.00,38,40
351,97.50,39,40
352,97.50,39,40
353,97.50,39,40
354,15.00,6,40
355,90.00,36,40
356,40.00,16,40
357,60.00,24,40
358,20.00,8,40
359,82.50,33,40
360,95.00,38,40
361,47.50,19,40
362,75.00,30,40
363,95.00,38,40
364,95.00,38,40
365,60.00,24,40
366,80.00,32,40
367,42.50,17,40
368,17.50,7,40
369,27.50,11,40
370,20.00,8,40
371,42.50,17,40
372,90.00,36,40
373,80.00,32,40
374,92.50,37,40
375,57.50,23,40
376,95.00,38,40
377,97.50,39,40
378,100.00,40,40
379,80.00,32,40
380,82.50,33,40
381,77.50,31,40
382,97.50,39,40
383,67.50,27,40
384,72.50,29,40
385,90.00,36,40
386,35.00,14,40
387,80.00,32,40
388,35.00,14,40
389,100.00,40,40
390,22.50,9,40
391,37.50,15,40
392,42.50,17,40
393,22.50,9,40
394,85.00,34,40
395,90.00,36,40
396,12.50,5,40
397,55.00,22,40
398,95.00,38,40
399,35.00,14,40
400,100.00,40,40
401,57.50,23,40
402,72.50,29,40
403,72.50,29,40
404,87.50,35,40
405,27.50,11,40
406,77.50,31,40
407,55.00,22,40
408,30.00,12,40
409,57.50,23,40
410,87.50,35,40
411,80.00,32,40
412,100.00,40,40
413,80.00,32,40
414,100.00,40,40
415,27.50,11,40
416,32.50,13,40
417,52.50,21,40
418,95.00,38,40
419,82.50,33,40
420,27.50,11,40
421,87.50,35,40
422,27.50,11,40
423,70.00,28,40
424,30.00,12,40
425,40.00,16,40
426,32.50,13,40
427,55.00,22,40
428,32.50,13,40
429,17.50,7,40
430,92.50,37,40
431,27.50,11,40
432,17.50,7,40
433,42.50,17,40
434,67.50,27,40
435,57.50,23,40
436,40.00,16,40
437,90.00,36,40
438,92.50,37,40
439,100.00,40,40
440,35.00,14,40
441,77.50,31,40
442,52.50,21,40
443,55.00,22,40
444,67.50,27,40
445,62.50,25,40
446,25.00,10,40
447,75.00,30,40
448,15.00,6,40
449,22.50,9,40
450,42.50,17,40
451,42.50,17,40
452,90.00,36,40
453,22.50,9,40
454,95.00,38,40
455,82.50,33,40
456,90.00,36,40
457,92.50,37,40
458,75.00,30,40
459,90.00,36,40
460,82.50,33,40
461,80.00,32,40
462,52.50,21,40
463,80.00,32,40
464,87.50,35,40
465,87.50,35,40
466,85.00,34,40
467,95.00,38,40
468,90.00,36,40
469,97.50,39,40
470,90.00,36,40
471,97.50,39,40
472,85.00,34,40
473,87.50,35,40
474,37.50,15,40
475,35.00,14,40
476,75.00,30,40
477,37.50,15,40
478,90.00,36,40
479,42.50,17,40
480,92.50,37,40
481,77.50,31,40
482,95.00,38,40
483,32.50,13,40
484,92.50,37,40
485,65.00,26,40
486,32.50,13,40
487,65.00,26,40
488,97.50,39,40
489,90.00,36,40
490,37.50,15,40
491,17.50,7,40
492,97.50,39,40
493,65.00,26,40
494,100.00,40,40
495,57.50,23,40
496,17.50,7,40
497,97.50,39,40
498,87.50,35,40
499,62.50,25,40
500,27.50,11,40
501,100.00,40,40
502,35.00,14,40
503,80.00,32,40
504,92.50,37,40
505,30.00,12,40
506,85.00,34,40
507,97.50,39,40
508,100.00,40,40
509,12.50,5,40
510,85.00,34,40
511,62.50,25,40
512,17.50,7,40
513,90.00,36,40
514,25.00,10,40
515,72.50,29,40
516,90.00,36,40
517,90.00,36,40
518,47.50,19,40
519,47.50,19,40
520,17.50,7,40
521,17.50,7,40
522,90.00,36,40
523,72.50,29,40
524,77.50,31,40
525,67.50,27,40
526,57.50,23,40
527,65.00,26,40
528,57.50,23,40
529,35.00,14,40
530,100.00,40,40
531,92.50,37,40
532,97.50,39,40
533,62.50,25,40
534,85.00,34,40
535,92.50,37,40
536,70.00,28,40
537,90.00,36,40
538,97.50,39,40
539,92.50,37,40
540,37.50,15,40
541,90.00,36,40
542,22.50,9,40
543,90.00,36,40
544,95.00,38,40
545,92.50,37,40
546,17.50,7,40
547,45.00,18,40
548,32.50,13,40
549,90.00,36,40
550,100.00,40,40
551,72.50,29,40
552,92.50,37,40
553,92.50,37,40
554,95.00,38,40
555,77.50,31,40
556,95.00,38,40
557,77.50,31,40
558,62.50,25,40
559,90.00,36,40
560,67.50,27,40
561,92.50,37,40
562,15.00,6,40
563,92.50,37,40
564,12.50,5,40
565,75.00,30,40
566,67.50,27,40
567,45.00,18,40
568,82.50,33,40
569,95.00,38,40
570,77.50,31,40
571,47.50,19,40
572,85.00,34,40
573,72.50,29,40
574,92.50,37,40
575,80.00,32,40
576,100.00,40,40
577,92.50,37,40
578,92.50,37,40
579,80.00,32,40
580,92.50,37,40
581,97.50,39,40
582,72.50,29,40
583,12.50,5,40
584,95.00,38,40
585,67.50,27,40
586,27.50,11,40
587,80.00,32,40
588,42.50,17,40
589,85.00,34,40
590,97.50,39,40
591,95.00,38,40
592,22.50,9,40
593,95.00,38,40
594,80.00,32,40
595,65.00,26,40
596,97.50,39,40
597,87.50,35,40
598,35.00,14,40
599,52.50,21,40
600,90.00,36,40
601,100.00,40,40
602,87.50,35,40
603,67.50,27,40
604,80.00,32,40
605,95.00,38,40
606,82.50,33,40
607,25.00,10,40
608,85.00,34,40
609,80.00,32,40
610,60.00,24,40
611,70.00,28,40
612,45.00,18,40
613,95.00,38,40
614,60.00,24,40
615,82.50,33,40
616,85.00,34,40
617,82.50,33,40
618,42.50,17,40
619,75.00,30,40
620,70.00,28,40
621,92.50,37,40
622,85.00,34,40
623,57.50,23,40
624,42.50,17,40
625,60.00,24,40
626,90.00,36,40
627,57.50,23,40
628,30.00,12,40
629,47.50,19,40
630,100.00,40,40
631,45.00,18,40
632,25.00,10,40
633,92.50,37,40
634,85.00,34,40
635,50.00,20,40
