Run,Success Rate (%),Success Count,Total Bytes
318,95.00,38,40
319,22.50,9,40
320,50.00,20,40
321,92.50,37,40
322,35.00,14,40
323,62.50,25,40
324,90.00,36,40
325,100.00,40,40
326,100.00,40,40
327,92.50,37,40
328,82.50,33,40
329,50.00,20,40
330,60.00,24,40
331,52.50,21,40
332,57.50,23,40
333,100.00,40,40
334,82.50,33,40
335,87.50,35,40
336,82.50,33,40
337,95.00,38,40
338,55.00,22,40
339,95.00,38,40
340,17.50,7,40
341,30.00,12,40
342,85.00,34,40
343,92.50,37,40
344,50.00,20,40
345,65.00,26,40
346,57.50,23,40
347,70.00,28,40
348,95.00,38,40
349,95.00,38,40
350,95.00,38,40
351,65.00,26,40
352,97.50,39,40
353,80.00,32,40
354,67.50,27,40
355,90.00,36,40
356,50.00,20,40
357,92.50,37,40
358,100.00,40,40
359,27.50,11,40
360,22.50,9,40
361,22.50,9,40
362,72.50,29,40
363,100.00,40,40
364,90.00,36,40
365,95.00,38,40
366,72.50,29,40
367,90.00,36,40
368,45.00,18,40
369,92.50,37,40
370,52.50,21,40
371,57.50,23,40
372,92.50,37,40
373,47.50,19,40
374,82.50,33,40
375,50.00,20,40
376,82.50,33,40
377,87.50,35,40
378,95.00,38,40
379,87.50,35,40
380,45.00,18,40
381,72.50,29,40
382,30.00,12,40
383,77.50,31,40
384,80.00,32,40
385,90.00,36,40
386,22.50,9,40
387,90.00,36,40
388,85.00,34,40
389,25.00,10,40
390,87.50,35,40
391,25.00,10,40
392,50.00,20,40
393,87.50,35,40
394,77.50,31,40
395,100.00,40,40
396,95.00,38,40
397,72.50,29,40
398,90.00,36,40
399,57.50,23,40
400,95.00,38,40
401,97.50,39,40
402,75.00,30,40
403,37.50,15,40
404,37.50,15,40
405,97.50,39,40
406,77.50,31,40
407,55.00,22,40
408,100.00,40,40
409,67.50,27,40
410,82.50,33,40
411,35.00,14,40
412,25.00,10,40
413,40.00,16,40
414,32.50,13,40
415,50.00,20,40
416,100.00,40,40
417,20.00,8,40
418,100.00,40,40
419,92.50,37,40
420,97.50,39,40
421,62.50,25,40
422,92.50,37,40
423,85.00,34,40
424,82.50,33,40
425,20.00,8,40
426,90.00,36,40
427,70.00,28,40
428,87.50,35,40
429,42.50,17,40
430,82.50,33,40
431,22.50,9,40
432,87.50,35,40
433,77.50,31,40
434,92.50,37,40
435,70.00,28,40
436,45.00,18,40
437,85.00,34,40
438,37.50,15,40
439,67.50,27,40
440,80.00,32,40
441,92.50,37,40
442,30.00,12,40
443,70.00,28,40
444,87.50,35,40
445,30.00,12,40
446,27.50,11,40
447,92.50,37,40
448,82.50,33,40
449,35.00,14,40
450,100.00,40,40
451,90.00,36,40
452,15.00,6,40
453,77.50,31,40
454,55.00,22,40
455,22.50,9,40
456,85.00,34,40
457,65.00,26,40
458,20.00,8,40
459,90.00,36,40
460,92.50,37,40
461,97.50,39,40
462,95.00,38,40
463,95.00,38,40
464,27.50,11,40
465,100.00,40,40
466,82.50,33,40
467,80.00,32,40
468,57.50,23,40
469,90.00,36,40
470,75.00,30,40
471,47.50,19,40
472,25.00,10,40
473,52.50,21,40
474,35.00,14,40
475,82.50,33,40
476,100.00,40,40
477,100.00,40,40
478,60.00,24,40
479,47.50,19,40
480,85.00,34,40
481,30.00,12,40
482,75.00,30,40
483,70.00,28,40
484,97.50,39,40
485,40.00,16,40
486,97.50,39,40
487,57.50,23,40
488,100.00,40,40
489,80.00,32,40
490,95.00,38,40
491,100.00,40,40
492,95.00,38,40
493,72.50,29,40
494,35.00,14,40
495,27.50,11,40
496,52.50,21,40
497,80.00,32,40
498,100.00,40,40
499,62.50,25,40
500,45.00,18,40
501,80.00,32,40
502,97.50,39,40
503,80.00,32,40
504,20.00,8,40
505,100.00,40,40
506,25.00,10,40
507,82.50,33,40
508,52.50,21,40
509,72.50,29,40
510,82.50,33,40
511,62.50,25,40
512,65.00,26,40
513,100.00,40,40
514,15.00,6,40
515,17.50,7,40
516,82.50,33,40
517,97.50,39,40
518,92.50,37,40
519,72.50,29,40
520,30.00,12,40
521,72.50,29,40
522,90.00,36,40
523,72.50,29,40
524,62.50,25,40
525,32.50,13,40
526,90.00,36,40
527,90.00,36,40
528,35.00,14,40
529,67.50,27,40
530,75.00,30,40
531,20.00,8,40
532,92.50,37,40
533,97.50,39,40
534,32.50,13,40
535,60.00,24,40
536,40.00,16,40
537,57.50,23,40
538,77.50,31,40
539,92.50,37,40
540,80.00,32,40
541,75.00,30,40
542,100.00,40,40
543,20.00,8,40
544,62.50,25,40
545,85.00,34,40
546,95.00,38,40
547,72.50,29,40
548,100.00,40,40
549,22.50,9,40
550,67.50,27,40
551,40.00,16,40
552,70.00,28,40
553,25.00,10,40
554,60.00,24,40
555,25.00,10,40
556,95.00,38,40
557,92.50,37,40
558,30.00,12,40
559,95.00,38,40
560,85.00,34,40
561,17.50,7,40
562,55.00,22,40
563,77.50,31,40
564,85.00,34,40
565,87.50,35,40
566,52.50,21,40
567,90.00,36,40
568,65.00,26,40
569,90.00,36,40
570,50.00,20,40
571,77.50,31,40
572,80.00,32,40
573,95.00,38,40
574,87.50,35,40
575,27.50,11,40
576,87.50,35,40
577,92.50,37,40
578,52.50,21,40
579,80.00,32,40
580,42.50,17,40
581,75.00,30,40
582,92.50,37,40
583,97.50,39,40
584,72.50,29,40
585,70.00,28,40
586,80.00,32,40
587,57.50,23,40
588,87.50,35,40
589,22.50,9,40
590,12.50,5,40
591,100.00,40,40
592,65.00,26,40
593,100.00,40,40
594,90.00,36,40
595,50.00,20,40
596,90.00,36,40
597,60.00,24,40
598,42.50,17,40
599,80.00,32,40
600,47.50,19,40
601,27.50,11,40
602,65.00,26,40
603,90.00,36,40
604,92.50,37,40
605,50.00,20,40
606,97.50,39,40
607,80.00,32,40
608,97.50,39,40
609,25.00,10,40
610,92.50,37,40
611,100.00,40,40
612,72.50,29,40
613,67.50,27,40
614,32.50,13,40
615,77.50,31,40
616,82.50,33,40
617,45.00,18,40
618,62.50,25,40
619,100.00,40,40
620,30.00,12,40
621,35.00,14,40
622,40.00,16,40
623,87.50,35,40
624,27.50,11,40
625,100.00,40,40
626,25.00,10,40
627,22.50,9,40
628,100.00,40,40
629,82.50,33,40
630,82.50,33,40
631,100.00,40,40
632,90.00,36,40
633,45.00,18,40
634,40.00,16,40
635,80.00,32,40
