Run,Success Rate (%),Success Count,Total Bytes
1,95.00,38,40
2,32.50,13,40
3,65.00,26,40
4,90.00,36,40
5,87.50,35,40
6,87.50,35,40
7,97.50,39,40
8,80.00,32,40
9,27.50,11,40
10,90.00,36,40
11,40.00,16,40
12,97.50,39,40
13,97.50,39,40
14,62.50,25,40
15,82.50,33,40
16,55.00,22,40
17,100.00,40,40
18,65.00,26,40
19,85.00,34,40
20,100.00,40,40
21,65.00,26,40
22,85.00,34,40
23,52.50,21,40
24,90.00,36,40
25,82.50,33,40
26,90.00,36,40
27,82.50,33,40
28,47.50,19,40
29,60.00,24,40
30,90.00,36,40
31,95.00,38,40
32,90.00,36,40
33,62.50,25,40
34,72.50,29,40
35,92.50,37,40
36,72.50,29,40
37,52.50,21,40
38,92.50,37,40
39,90.00,36,40
40,35.00,14,40
41,95.00,38,40
42,85.00,34,40
43,82.50,33,40
44,80.00,32,40
45,25.00,10,40
46,97.50,39,40
47,100.00,40,40
48,52.50,21,40
49,92.50,37,40
50,65.00,26,40
51,60.00,24,40
52,42.50,17,40
53,80.00,32,40
54,35.00,14,40
55,80.00,32,40
56,40.00,16,40
57,27.50,11,40
58,27.50,11,40
59,80.00,32,40
60,27.50,11,40
61,92.50,37,40
62,15.00,6,40
63,27.50,11,40
64,95.00,38,40
65,100.00,40,40
66,92.50,37,40
67,40.00,16,40
68,85.00,34,40
69,15.00,6,40
70,90.00,36,40
71,77.50,31,40
72,87.50,35,40
73,100.00,40,40
74,92.50,37,40
75,72.50,29,40
76,87.50,35,40
77,100.00,40,40
78,55.00,22,40
79,85.00,34,40
80,80.00,32,40
81,65.00,26,40
82,97.50,39,40
83,90.00,36,40
84,70.00,28,40
85,35.00,14,40
86,35.00,14,40
87,100.00,40,40
88,40.00,16,40
89,85.00,34,40
90,15.00,6,40
91,67.50,27,40
92,92.50,37,40
93,100.00,40,40
94,52.50,21,40
95,70.00,28,40
96,90.00,36,40
97,72.50,29,40
98,57.50,23,40
99,95.00,38,40
100,95.00,38,40
